 # q,I,sigma
 # errors rescaled with constant factor:    1.12195468    
 # factor also written to scale_factor.d
   3.72556895E-02 -0.928315997       1.22161794    
   2.40738606      0.488737285       2.79566310E-02
   2.41207910      0.467285693       2.79938914E-02
   2.41677189      0.438992411       2.80454773E-02
   2.42146611      0.478329092       2.76477225E-02
   2.42615891      0.529890299       2.78063118E-02
   2.43085194      0.436239809       2.80842315E-02
   2.43554497      0.479222000       2.78211664E-02
   2.44023895      0.489410698       2.77306568E-02
   2.44493198      0.470831603       2.76236124E-02
   2.44962502      0.417528093       2.77539268E-02
   2.45431900      0.507614791       2.78190691E-02
   2.45901203      0.480800986       2.77561489E-02
   2.46370506      0.446489811       2.72537936E-02
   2.46839905      0.403673410       2.75647659E-02
   2.47309208      0.473755091       2.77668759E-02
   2.47778511      0.484272987       2.77161393E-02
   2.48247910      0.484706610       2.71780957E-02
   2.48717189      0.402949005       2.74534449E-02
   2.49186492      0.496673405       2.76545212E-02
   2.49655890      0.415502608       2.74438988E-02
   2.50125194      0.426170886       2.72684135E-02
   2.50594497      0.458160698       2.71871164E-02
   2.51063895      0.411719412       2.74686478E-02
   2.51533198      0.439051002       2.73088254E-02
   2.52002501      0.448209196       2.70535126E-02
   2.52471900      0.458492309       2.69586761E-02
   2.52941203      0.359068900       2.71724854E-02
   2.53410506      0.448395401       2.74119098E-02
   2.53879905      0.477219403       2.69906167E-02
   2.54349208      0.456655592       2.67792400E-02
   2.54818511      0.403456599       2.70074345E-02
   2.55287910      0.457045913       2.74310857E-02
   2.55757189      0.406061202       2.71795187E-02
   2.56226492      0.372359693       2.64991671E-02
   2.56695890      0.353359699       2.69849841E-02
   2.57165194      0.404903114       2.71950830E-02
   2.57634497      0.468469411       2.73164213E-02
   2.58103895      0.409479588       2.65264865E-02
   2.58573198      0.444313794       2.67868470E-02
   2.59042501      0.419130087       2.70213466E-02
   2.59511900      0.364724487       2.71869935E-02
   2.59981203      0.383466810       2.65649911E-02
